id,name,latitude,longitude,capacity,cash_type,location_type,min_threshold,max_capacity,assigned_carrier_id
ATM001,Cajero Banco Oeste,4.79336,-74.010092,88842521,MULTIPROPÓSITO,HOSPITAL,13326378,106611025,TDV005
ATM002,Cajero Centro Comercial Este,4.792098,-74.156079,80227437,MULTIPROPÓSITO,TRANSPORT,12034115,96272924,TDV005
ATM003,Cajero Centro Comercial Oeste,4.62878,-74.123304,63663448,DISPENSADOR,TRANSPORT,9549517,76396137,TDV003
ATM004,Cajero Centro Comercial Este,4.760802,-74.047094,71409483,MULTIPROPÓSITO,MALL,10711422,85691379,TDV005
ATM005,Cajero Centro Comercial Sur,4.542538,-74.125042,69156015,MULTIPROPÓSITO,OFFICE,10373402,82987218,TDV004
ATM006,Cajero Hospital Este,4.602232,-74.081019,118509438,MULTIPROPÓSITO,OFFICE,17776415,142211325,TDV003
ATM007,Cajero Hospital Este,4.697263,-74.019289,51058627,DISPENSADOR,HOSPITAL,7658794,61270352,TDV002
ATM008,Cajero Centro Comercial Sur,4.643778,-74.148691,142850050,DISPENSADOR,HOSPITAL,21427507,171420060,TDV002
ATM009,Cajero Banco Norte,4.69192,-74.017725,90608059,MULTIPROPÓSITO,MALL,13591208,108729670,TDV004
ATM010,Cajero Universidad Oeste,4.640715,-74.192216,140130077,MULTIPROPÓSITO,HOSPITAL,21019511,168156092,TDV004
ATM011,Cajero Estación Transmilenio Este,4.742762,-74.111607,81186790,MULTIPROPÓSITO,UNIVERSITY,12178018,97424148,TDV002
ATM012,Cajero Universidad Oeste,4.62198,-74.041732,138721811,MULTIPROPÓSITO,UNIVERSITY,20808271,166466173,TDV004
ATM013,Cajero Edificio Corporativo Este,4.670078,-74.004316,97268084,MULTIPROPÓSITO,BANK,14590212,116721700,TDV001
ATM014,Cajero Hospital Sur,4.512922,-74.019279,118637560,MULTIPROPÓSITO,UNIVERSITY,17795634,142365072,TDV004
ATM015,Cajero Universidad Oeste,4.641494,-74.105603,118288739,MULTIPROPÓSITO,MALL,17743310,141946486,TDV004
ATM016,Cajero Hospital Este,4.765381,-74.115939,121887116,MULTIPROPÓSITO,TRANSPORT,18283067,146264539,TDV004
ATM017,Cajero Edificio Corporativo Oeste,4.633588,-74.013789,148614260,MULTIPROPÓSITO,UNIVERSITY,22292139,178337112,TDV005
ATM018,Cajero Estación Transmilenio Oeste,4.564486,-74.187185,116387554,DISPENSADOR,HOSPITAL,17458133,139665064,TDV003
ATM019,Cajero Estación Transmilenio Este,4.589618,-74.134421,102398154,DISPENSADOR,TRANSPORT,15359723,122877784,TDV004
ATM020,Cajero Estación Transmilenio Este,4.641803,-74.173525,106296460,MULTIPROPÓSITO,HOSPITAL,15944469,127555752,TDV004
ATM021,Cajero Universidad Este,4.656153,-74.170286,91097203,MULTIPROPÓSITO,MALL,13664580,109316643,TDV005
ATM022,Cajero Edificio Corporativo Norte,4.63476,-74.091628,110595469,MULTIPROPÓSITO,TRANSPORT,16589320,132714562,TDV004
ATM023,Cajero Hospital Sur,4.632246,-74.102373,117901468,MULTIPROPÓSITO,HOSPITAL,17685220,141481761,TDV005
ATM024,Cajero Hospital Oeste,4.570614,-74.101728,65424787,DISPENSADOR,OFFICE,9813718,78509744,TDV005
ATM025,Cajero Hospital Norte,4.683375,-74.140712,92553439,DISPENSADOR,BANK,13883015,111064126,TDV002
ATM026,Cajero Estación Transmilenio Este,4.62854,-74.101023,147853758,MULTIPROPÓSITO,BANK,22178063,177424509,TDV001
ATM027,Cajero Hospital Sur,4.553924,-74.116004,85353139,DISPENSADOR,BANK,12802970,102423766,TDV005
ATM028,Cajero Estación Transmilenio Oeste,4.594573,-74.134022,101901392,MULTIPROPÓSITO,MALL,15285208,122281670,TDV002
ATM029,Cajero Estación Transmilenio Este,4.73095,-74.020439,54862078,DISPENSADOR,HOSPITAL,8229311,65834493,TDV004
ATM030,Cajero Estación Transmilenio Sur,4.583592,-74.195496,83984324,DISPENSADOR,MALL,12597648,100781188,TDV003
ATM031,Cajero Edificio Corporativo Norte,4.723742,-74.101825,120755421,DISPENSADOR,TRANSPORT,18113313,144906505,TDV005
ATM032,Cajero Universidad Oeste,4.714354,-74.078663,102414257,DISPENSADOR,UNIVERSITY,15362138,122897108,TDV004
ATM033,Cajero Edificio Corporativo Este,4.546831,-74.188,139433666,MULTIPROPÓSITO,OFFICE,20915049,167320399,TDV003
ATM034,Cajero Edificio Corporativo Oeste,4.50403,-74.15821,88797346,MULTIPROPÓSITO,TRANSPORT,13319601,106556815,TDV004
ATM035,Cajero Estación Transmilenio Norte,4.527611,-74.173421,61987474,DISPENSADOR,TRANSPORT,9298121,74384968,TDV005
ATM036,Cajero Universidad Oeste,4.674227,-74.131565,142340615,MULTIPROPÓSITO,OFFICE,21351092,170808738,TDV004
ATM037,Cajero Centro Comercial Centro,4.798283,-74.132796,69633675,DISPENSADOR,MALL,10445051,83560410,TDV004
ATM038,Cajero Universidad Este,4.727321,-74.031745,61362828,MULTIPROPÓSITO,UNIVERSITY,9204424,73635393,TDV004
ATM039,Cajero Estación Transmilenio Este,4.661397,-74.125481,76355991,MULTIPROPÓSITO,TRANSPORT,11453398,91627189,TDV002
ATM040,Cajero Hospital Norte,4.551467,-74.062519,97061654,DISPENSADOR,OFFICE,14559248,116473984,TDV001
ATM041,Cajero Universidad Este,4.656558,-74.055715,123245296,MULTIPROPÓSITO,UNIVERSITY,18486794,147894355,TDV004
