atm_id,transaction_date,transaction_time,amount,transaction_type,day_of_week
ATM006,2023-09-24,14:39:10,842691,RETIRO,7
ATM037,2023-11-21,04:30:15,829280,RETIRO,2
ATM085,2023-09-07,16:01:44,2056342,DEPÓSITO,4
ATM036,2023-11-19,02:24:49,4459390,DEPÓSITO,7
ATM073,2023-10-29,16:45:52,2670440,DEPÓSITO,7
ATM055,2023-11-10,04:19:42,594177,DEPÓSITO,5
ATM071,2023-10-19,18:25:45,4076853,DEPÓSITO,4
ATM024,2024-02-05,17:46:24,1138656,RETIRO,1
ATM072,2023-12-06,01:54:21,1908152,RETIRO,3
ATM054,2023-12-29,19:33:32,2169790,RETIRO,5
ATM062,2023-09-16,18:25:44,1502126,RETIRO,6
ATM051,2023-12-06,09:22:19,364885,RETIRO,3
ATM065,2023-10-12,00:49:07,1712304,RETIRO,4
ATM054,2024-02-23,21:08:55,678840,DEPÓSITO,5
ATM015,2023-09-07,13:04:14,1445139,RETIRO,4
ATM022,2023-12-30,22:36:49,2052744,DEPÓSITO,6
ATM024,2024-01-17,22:54:22,1974101,RETIRO,3
ATM038,2024-01-14,17:58:56,1027949,DEPÓSITO,7
ATM095,2024-01-04,23:31:24,1783933,RETIRO,4
ATM022,2023-12-18,19:44:19,1315112,RETIRO,1
ATM049,2023-10-09,19:44:42,2071791,DEPÓSITO,1
ATM065,2023-10-26,16:58:04,541873,RETIRO,4
ATM006,2023-09-04,04:17:16,3028878,DEPÓSITO,1
ATM061,2024-02-20,17:27:02,3430279,DEPÓSITO,2
ATM076,2023-09-02,09:54:55,1064481,DEPÓSITO,6
ATM066,2023-10-11,00:44:43,1881229,RETIRO,3
ATM033,2024-01-03,13:47:04,1017831,RETIRO,3
ATM074,2023-11-30,18:38:32,1443518,DEPÓSITO,4
ATM048,2023-10-08,05:47:26,1498313,RETIRO,7
ATM073,2024-02-19,14:02:54,122530,RETIRO,1
ATM052,2023-09-26,19:38:40,874059,DEPÓSITO,2
ATM032,2023-11-14,18:48:03,71398,RETIRO,2
ATM008,2023-09-12,20:20:56,813230,DEPÓSITO,2
ATM049,2023-10-04,15:14:14,1230417,RETIRO,3
ATM083,2023-10-13,15:53:26,828386,RETIRO,5
ATM087,2024-01-26,16:39:00,1113926,DEPÓSITO,5
ATM050,2024-02-29,14:20:13,1793488,DEPÓSITO,4
ATM014,2023-11-22,07:40:14,2779173,RETIRO,3
ATM036,2023-12-13,17:20:43,1120339,DEPÓSITO,3
ATM089,2023-09-24,01:01:55,290349,DEPÓSITO,7
ATM018,2023-12-20,02:16:27,703206,RETIRO,3
ATM015,2023-12-11,11:32:34,1596760,RETIRO,1
ATM063,2024-02-02,19:35:14,890155,RETIRO,5
ATM088,2023-10-19,21:09:01,346512,DEPÓSITO,4
ATM094,2023-12-09,08:08:18,281968,RETIRO,6
ATM029,2023-12-07,06:02:32,699803,DEPÓSITO,4
ATM028,2023-09-18,22:03:47,1624688,RETIRO,1
ATM064,2023-10-02,06:32:14,225962,RETIRO,1
ATM022,2024-01-27,00:05:08,1097462,RETIRO,6
ATM030,2023-09-21,14:05:56,1697342,DEPÓSITO,4
ATM034,2023-09-12,14:03:45,55504,RETIRO,2
ATM005,2023-12-03,17:25:05,2396495,DEPÓSITO,7
ATM092,2024-01-27,08:06:55,1987472,RETIRO,6
ATM076,2023-10-16,20:48:44,2609688,DEPÓSITO,1
ATM001,2024-01-28,06:13:04,2860318,DEPÓSITO,7
ATM018,2024-01-04,22:45:36,113333,RETIRO,4
ATM021,2023-11-15,15:08:55,1547767,RETIRO,3
ATM005,2024-01-31,16:09:52,432806,RETIRO,3
ATM062,2023-11-09,07:01:06,1409975,RETIRO,4
ATM030,2024-02-19,00:41:58,1930358,DEPÓSITO,1
ATM039,2023-10-18,14:21:28,2735344,DEPÓSITO,3
ATM045,2023-11-08,03:58:30,948572,RETIRO,3
ATM087,2023-10-15,11:05:55,4041279,DEPÓSITO,7
ATM004,2024-03-01,11:14:28,3053363,DEPÓSITO,5
ATM069,2023-09-16,04:50:03,787932,RETIRO,6
